,tag,count,class,tsne_0,tsne_1,tsne_2
127,datetime,42330,Stack Overflow,-55.233185,-121.50395,42.49374
129,delphi,41117,Stack Overflow,51.427868,140.41388,-107.54096
133,express,40309,Stack Overflow,-111.39119,8.287397,13.818452
134,ubuntu,39972,Stack Overflow,43.882786,81.39726,131.66252
135,templates,39165,Stack Overflow,83.457184,62.120197,-20.083757
136,pointers,39104,Stack Overflow,73.152214,48.322453,36.812847
138,object,38565,Stack Overflow,-41.379345,-86.934746,-116.976974
139,debugging,38511,Stack Overflow,-133.78339,45.613533,89.912155
140,dictionary,38346,Stack Overflow,16.280968,144.59702,-76.31929
141,variables,38244,Stack Overflow,-74.9985,-46.6011,-98.30096
142,session,38120,Stack Overflow,-77.04339,15.372169,-42.27695
144,unix,37845,Stack Overflow,127.15559,-26.140549,-46.45738
145,ms-access,37577,Stack Overflow,-26.426813,-78.39534,79.6408
146,cocoa,37349,Stack Overflow,47.90765,-67.25271,-12.268423
147,hadoop,37277,Stack Overflow,-121.704636,-84.60266,-71.65448
152,haskell,36332,Stack Overflow,-80.38962,20.529846,82.23105
155,authentication,35684,Stack Overflow,88.46189,102.37742,-82.65628
156,pdf,35678,Stack Overflow,-9.998708,84.293365,-50.248314
157,tomcat,35615,Stack Overflow,-58.390923,-140.88571,-7.294553
159,docker,35417,Stack Overflow,108.44387,-73.54761,80.003006
160,flash,35261,Stack Overflow,19.796751,66.58338,-73.73166
161,ssl,34433,Stack Overflow,58.438656,33.73358,-35.508343
162,ipad,34324,Stack Overflow,142.82675,22.710587,-28.81151
164,jpa,33577,Stack Overflow,-20.339714,-27.581888,-179.28973
165,generics,33474,Stack Overflow,-97.826485,-114.34637,61.398087
166,jsf,33297,Stack Overflow,-17.720594,48.764126,155.89737
167,url,33225,Stack Overflow,26.307085,83.29322,-32.174114
168,animation,33166,Stack Overflow,-14.825241,59.49827,-87.8377
170,firefox,32486,Stack Overflow,-0.5355508,40.668106,-50.54244
172,redirect,32184,Stack Overflow,117.79228,77.577965,-98.57811
173,curl,31410,Stack Overflow,137.4183,-31.59126,73.10776
175,unity3d,31113,Stack Overflow,6.958616,-67.98535,78.48591
177,asynchronous,30950,Stack Overflow,93.68358,-83.65954,-51.67128
178,inheritance,30859,Stack Overflow,-95.94939,111.000626,99.25372
180,exception,30492,Stack Overflow,14.030274,33.640793,89.16729
181,testing,30456,Stack Overflow,-180.26315,24.012587,-7.6541123
182,events,30167,Stack Overflow,-70.62145,-33.851353,-44.062607
183,opengl,30165,Stack Overflow,-41.39298,59.37071,-145.81313
184,xslt,29978,Stack Overflow,-67.561066,36.561863,-116.239265
185,nginx,29962,Stack Overflow,32.136814,-72.26116,28.911892
186,caching,29941,Stack Overflow,36.234386,13.023253,-0.76487345
188,servlets,29673,Stack Overflow,15.482872,5.161501,-43.77542
189,post,29664,Stack Overflow,-30.485134,-108.19194,-13.038875
190,math,29532,Stack Overflow,-122.47046,-37.474697,-114.58215
191,dom,29432,Stack Overflow,2.6731107,26.99194,-131.27483
194,iis,29341,Stack Overflow,100.00299,31.171415,-43.724422
195,select,29314,Stack Overflow,-94.21975,-4.4100714,-12.047465
197,join,29173,Stack Overflow,110.555756,-35.759876,116.037704
198,button,29122,Stack Overflow,44.49101,72.77354,61.303143
200,recursion,29002,Stack Overflow,-38.07586,-18.758404,-98.53065
201,search,28800,Stack Overflow,0.5297261,95.17328,70.84935
202,gcc,28687,Stack Overflow,-46.0778,94.71599,53.28679
203,go,28231,Stack Overflow,-155.55849,20.13137,-70.59923
206,jenkins,27847,Stack Overflow,-93.15968,-101.32292,-5.091384
207,image-processing,27841,Stack Overflow,87.20578,-99.5586,-94.97542
208,grails,27840,Stack Overflow,1.3846046,-36.619415,-52.40074
209,github,27797,Stack Overflow,38.46342,-87.22202,108.47647
210,audio,27757,Stack Overflow,75.32494,-52.443096,153.68048
212,canvas,27530,Stack Overflow,49.411545,-26.958225,-164.0066
213,silverlight,27526,Stack Overflow,4.0301237,130.70508,17.72535
214,svg,27483,Stack Overflow,32.326283,9.088269,162.17561
216,logging,27480,Stack Overflow,110.496216,-0.5010491,79.87768
217,video,27395,Stack Overflow,125.75683,122.31249,-26.588781
218,meteor,27308,Stack Overflow,-64.936165,-107.76441,-41.04966
219,assembly,27264,Stack Overflow,19.907944,-80.747574,-104.65182
220,matrix,27257,Stack Overflow,-97.25561,68.33019,-116.43104
222,networking,27127,Stack Overflow,83.138855,131.17046,52.41769
225,encryption,26311,Stack Overflow,71.65057,32.472355,-77.788994
226,memory,26303,Stack Overflow,-96.572395,42.49155,-5.2810826
227,xpath,26140,Stack Overflow,1.3006855,67.24134,-12.893112
228,iframe,26112,Stack Overflow,-59.531025,-40.31123,-1.953504
231,razor,25930,Stack Overflow,35.685284,33.623936,64.500786
232,cookies,25847,Stack Overflow,-20.315994,125.72962,48.4256
233,web,25724,Stack Overflow,118.47499,115.86055,39.173836
235,optimization,25514,Stack Overflow,57.30838,-19.960194,136.18118
237,svn,25315,Stack Overflow,155.20248,8.499115,56.51119
238,design-patterns,25190,Stack Overflow,-7.4493217,90.48886,23.578625
242,core-data,24962,Stack Overflow,131.09428,40.832867,69.875114
244,serialization,24837,Stack Overflow,130.74611,-51.982693,33.178837
245,model-view-controller,24789,Stack Overflow,85.75572,11.626237,-28.07157
246,arraylist,24668,Stack Overflow,-13.33074,58.47807,87.26909
247,gridview,24663,Stack Overflow,113.65648,81.29992,-35.3007
248,jdbc,24625,Stack Overflow,-134.47691,-29.984365,10.421586
249,javafx,24399,Stack Overflow,-25.22963,-14.108717,48.898598
250,flex,24303,Stack Overflow,2.8462124,62.987247,49.39365
252,vector,23940,Stack Overflow,-35.979565,-3.321172,-132.80608
254,checkbox,23724,Stack Overflow,-57.61055,-75.42044,-11.072871
256,mobile,23405,Stack Overflow,151.45203,75.887566,-10.658499
257,random,23311,Stack Overflow,-34.86065,-107.779106,-77.23287
258,soap,23251,Stack Overflow,-64.97053,135.33926,69.69823
259,sharepoint,23102,Stack Overflow,-15.2436905,-169.30751,11.932984
263,extjs,22612,Stack Overflow,56.281742,-49.968643,-81.44171
265,vim,22569,Stack Overflow,-37.616528,-42.807,71.923416
266,text,22428,Stack Overflow,-30.843561,14.76758,-172.07224
267,plot,22349,Stack Overflow,-38.020054,35.441795,-48.84127
269,input,22323,Stack Overflow,75.964325,87.483826,37.269184
270,machine-learning,22098,Stack Overflow,-71.628716,4.4301105,18.43597
271,layout,22073,Stack Overflow,11.516787,47.934677,133.477
273,boost,21979,Stack Overflow,-110.69002,-46.7332,-68.1411
275,mvvm,21891,Stack Overflow,98.12293,157.08353,28.211306
276,methods,21658,Stack Overflow,-57.509842,101.00437,-138.85876
277,twitter,21653,Stack Overflow,104.10892,111.61313,72.48663
278,indexing,21542,Stack Overflow,20.910507,-146.58907,-17.194136
279,netbeans,21313,Stack Overflow,4.894096,-112.089935,-77.14173
282,dynamic,20879,Stack Overflow,32.30422,167.04552,-3.2528348
283,dll,20871,Stack Overflow,-33.093197,163.94377,43.377716
284,data-structures,20723,Stack Overflow,-26.768246,-108.77564,57.64001
285,browser,20578,Stack Overflow,154.84898,-87.17376,6.0843253
286,flask,20567,Stack Overflow,-15.903575,17.275988,189.03664
289,gwt,20390,Stack Overflow,-29.521194,112.57576,-100.60561
290,design,20247,Stack Overflow,136.6487,19.95137,115.48777
292,pdo,20152,Stack Overflow,24.038895,-48.548664,114.43836
293,groovy,20058,Stack Overflow,-84.86687,85.203186,-0.70416874
294,plugins,19991,Stack Overflow,-5.014799,-126.87914,20.110138
298,time,19566,Stack Overflow,-106.10672,136.40982,-13.45213
299,struct,19551,Stack Overflow,-20.21963,-28.02143,15.620065
300,unicode,19476,Stack Overflow,-30.883959,101.4051,91.30756
301,mongoose,19439,Stack Overflow,63.465523,30.719286,144.31372
302,ssh,19429,Stack Overflow,68.7149,-54.966347,-44.567417
303,reflection,19365,Stack Overflow,8.517443,-30.327976,-150.23856
305,tkinter,19206,Stack Overflow,-136.48695,-20.941912,-58.57121
306,sed,19157,Stack Overflow,-21.823402,-34.04414,112.131256
308,npm,18957,Stack Overflow,-9.24084,5.3210397,20.597725
309,lambda,18939,Stack Overflow,85.90758,3.517483,24.789312
313,graph,18826,Stack Overflow,76.13124,-12.780393,-6.6272984
315,hash,18682,Stack Overflow,42.897892,26.147684,-65.86959
320,drupal,18466,Stack Overflow,-42.08681,143.59636,-25.578003
321,replace,18396,Stack Overflow,-152.67924,7.7071905,78.31223
323,service,18372,Stack Overflow,52.29178,-120.39798,-101.83656
324,encoding,18327,Stack Overflow,10.0436735,-7.898016,89.957245
325,charts,18321,Stack Overflow,-74.63517,55.603355,-35.399727
329,web-applications,18184,Stack Overflow,14.661073,26.40009,-90.62236
332,junit,17917,Stack Overflow,35.476707,7.452548,-133.12094
335,paypal,17774,Stack Overflow,77.98352,-11.609419,-93.27232
337,collections,17537,Stack Overflow,-76.848595,124.59552,-89.378456
338,login,17529,Stack Overflow,106.85844,-112.30908,-30.167675
339,utf-8,17504,Stack Overflow,100.57045,79.610016,8.914365
340,command-line,17484,Stack Overflow,-40.64242,80.5722,-204.56798
341,printing,17400,Stack Overflow,-15.938405,72.53677,-127.020874
342,tfs,17373,Stack Overflow,35.075905,-42.04533,89.76641
344,foreach,17312,Stack Overflow,-109.90151,10.418348,54.77106
345,deployment,17260,Stack Overflow,113.60666,-66.22031,-4.6655545
346,primefaces,17227,Stack Overflow,-10.738633,-52.21663,40.622326
348,https,17074,Stack Overflow,50.95038,-4.235916,89.822716
349,makefile,17064,Stack Overflow,-40.885136,-81.54555,41.28027
350,cmd,17030,Stack Overflow,10.650554,-10.983599,127.73126
351,filter,16923,Stack Overflow,-44.97484,-46.956177,-149.74539
353,types,16891,Stack Overflow,92.06232,-123.69311,79.386734
354,tcp,16884,Stack Overflow,28.171572,-67.35652,-62.35578
356,webview,16880,Stack Overflow,-95.172066,-48.49363,-16.11572
357,solr,16800,Stack Overflow,48.1641,-30.977816,5.2769766
360,view,16696,Stack Overflow,46.034534,-139.41255,93.39453
361,scroll,16643,Stack Overflow,3.7538486,38.198616,17.157524
362,import,16286,Stack Overflow,63.22958,-74.55055,6.990713
363,yii,16236,Stack Overflow,-0.48639292,-84.041756,46.120644
364,vbscript,16167,Stack Overflow,42.864216,128.3477,23.091854
365,graphics,16099,Stack Overflow,152.58835,2.115866,6.582337
367,error-handling,15938,Stack Overflow,-46.6935,-9.8664,-12.613113
368,oauth,15793,Stack Overflow,59.935802,-28.148064,47.35703
371,fonts,15673,Stack Overflow,-49.02791,83.34643,-22.666737
372,emacs,15664,Stack Overflow,-33.26197,-40.73319,-43.21159
374,syntax,15555,Stack Overflow,-9.177022,127.3177,-42.25897
375,rspec,15554,Stack Overflow,48.99053,94.52479,3.8223045
376,web-scraping,15534,Stack Overflow,23.371563,73.08574,16.284796
379,concurrency,15405,Stack Overflow,26.681757,-152.21997,-65.54989
381,timer,15357,Stack Overflow,90.37086,-65.74382,36.50524
382,jar,15281,Stack Overflow,-15.022337,131.36275,77.80692
383,neo4j,15265,Stack Overflow,17.047384,-1.6455529,51.687794
386,parameters,15080,Stack Overflow,-154.82855,252.0403,-8.8695545
388,colors,15053,Stack Overflow,5.5292068,-150.93567,69.36229
391,build,14968,Stack Overflow,-110.07594,-4.005447,-38.95689
392,merge,14957,Stack Overflow,-0.6067986,169.04845,-37.355778
393,constructor,14898,Stack Overflow,-48.515533,92.979645,14.662328
396,hyperlink,14772,Stack Overflow,70.17474,120.901,113.57984
397,joomla,14740,Stack Overflow,26.777184,99.15316,42.259415
399,orm,14718,Stack Overflow,-36.678085,16.951674,21.401161
402,ssis,14548,Stack Overflow,-34.55271,-2.8591988,131.06456
405,ant,14419,Stack Overflow,-29.79703,57.88146,22.601358
406,ffmpeg,14400,Stack Overflow,54.650524,-32.511166,-116.01667
407,module,14365,Stack Overflow,-49.73188,-31.274044,171.58745
409,split,14329,Stack Overflow,-108.546104,-95.87115,104.99494
410,interface,14317,Stack Overflow,-9.90465,-64.34974,-80.04677
411,casting,14272,Stack Overflow,-64.79378,-132.91533,-53.590885
414,properties,14218,Stack Overflow,-72.91434,0.5199626,-105.145966
415,proxy,14136,Stack Overflow,-13.220733,21.253735,113.663185
416,terminal,14122,Stack Overflow,51.041233,4.189987,35.38944
418,process,14019,Stack Overflow,104.241776,-47.559837,-77.728745
422,cassandra,13890,Stack Overflow,115.13628,-15.888248,-10.361209
424,binding,13876,Stack Overflow,-8.505047,-24.651056,-15.961494
425,bitmap,13749,Stack Overflow,75.06409,34.32044,73.51651
426,lua,13708,Stack Overflow,-104.98943,-7.1521797,94.09247
428,configuration,13639,Stack Overflow,-3.9654596,-80.18132,-140.8365
429,exception-handling,13603,Stack Overflow,1.7860405,-33.460453,66.38729
431,group-by,13574,Stack Overflow,-22.57586,-1.360489,-42.05518
433,triggers,13527,Stack Overflow,73.8805,-148.40901,38.707096
434,server,13510,Stack Overflow,26.167963,124.243744,-18.724201
435,sass,13502,Stack Overflow,-33.505756,-107.80326,111.13079
437,io,13462,Stack Overflow,12.683022,-65.39536,-28.850182
439,parallel-processing,13438,Stack Overflow,-112.69825,-30.755533,53.502804
440,autocomplete,13426,Stack Overflow,112.61905,62.80713,39.41785
442,devise,13363,Stack Overflow,-31.51668,71.94896,123.46864
443,datagrid,13344,Stack Overflow,-56.747982,40.35269,143.69914
446,bluetooth,13307,Stack Overflow,70.78361,-133.24394,-50.3804
447,menu,13274,Stack Overflow,-63.382233,89.19005,-83.12579
448,count,13226,Stack Overflow,19.573559,-13.973769,16.09757
449,hive,13173,Stack Overflow,-30.537666,52.178867,-7.945107
450,scope,13162,Stack Overflow,-86.55447,-73.76176,-46.99951
451,jboss,13158,Stack Overflow,-20.879047,20.06136,-87.13858
452,download,13145,Stack Overflow,-131.84006,-41.100883,112.03483
453,safari,13077,Stack Overflow,-37.185444,56.38987,60.290203
454,model,13065,Stack Overflow,-20.011196,-31.007204,155.46346
458,youtube,13037,Stack Overflow,-130.95117,106.55283,18.927423
464,callback,12856,Stack Overflow,-135.00897,-68.42282,66.13022
465,architecture,12796,Stack Overflow,146.06065,-13.737107,-84.8818
466,path,12698,Stack Overflow,86.348526,-34.474926,20.933807
467,pagination,12668,Stack Overflow,27.767015,-40.039505,39.8407
468,scripting,12593,Stack Overflow,13.536359,-36.63679,-93.697876
469,webforms,12584,Stack Overflow,-19.366339,-86.05353,16.387014
470,reference,12566,Stack Overflow,13.537965,-117.26208,107.6661
471,3d,12558,Stack Overflow,91.47532,64.391014,-64.977936
472,socket.io,12534,Stack Overflow,6.4276237,-50.941032,13.5894
473,linked-list,12519,Stack Overflow,-77.05563,125.94789,18.190985
474,static,12469,Stack Overflow,-50.273174,-2.9800918,-65.66107
475,compilation,12465,Stack Overflow,-51.377632,120.6881,-62.626633
476,controller,12442,Stack Overflow,113.27829,-12.568421,-125.55948
479,outlook,12389,Stack Overflow,-82.67874,74.205215,134.75563
480,permissions,12376,Stack Overflow,16.743847,-110.56226,-34.929283
484,stl,12248,Stack Overflow,122.0301,-12.719427,30.679352
485,coldfusion,12205,Stack Overflow,-65.87227,47.943253,19.181446
486,ms-word,12182,Stack Overflow,50.166286,59.813423,1.1399237
487,dns,12154,Stack Overflow,71.48927,28.616116,-3.414976
488,transactions,12145,Stack Overflow,95.80857,-37.725033,66.43754
492,redux,12065,Stack Overflow,42.03355,28.283556,110.17442
493,get,12036,Stack Overflow,31.526836,60.450424,171.7624
494,notifications,12004,Stack Overflow,78.05766,-110.69591,-11.107032
495,tree,11982,Stack Overflow,-41.72609,-136.40263,-108.852036
497,arduino,11956,Stack Overflow,112.49729,11.964005,-82.267975
500,background,11932,Stack Overflow,-63.399105,-65.67053,99.0132
501,xsd,11931,Stack Overflow,36.859116,-74.15241,57.297127
503,ftp,11905,Stack Overflow,79.87885,-102.83935,41.626514
504,automation,11892,Stack Overflow,48.666843,-97.050804,-80.751945
505,uwp,11859,Stack Overflow,-80.27745,-65.9919,51.6269
506,grep,11805,Stack Overflow,-25.422203,3.6485298,80.66357
508,tabs,11772,Stack Overflow,218.3297,-98.08351,649.44727
509,routing,11703,Stack Overflow,-3.8374624,-7.7226224,-76.25241
510,camera,11637,Stack Overflow,53.96767,66.28077,-60.997505
511,sdk,11598,Stack Overflow,-151.7418,-37.334957,-19.279247
512,null,11585,Stack Overflow,-80.610565,-73.234184,25.39034
514,upload,11540,Stack Overflow,101.95556,32.631176,-127.7484
516,insert,11444,Stack Overflow,47.297623,-71.0807,-137.46045
518,routes,11401,Stack Overflow,-115.609116,39.356426,-58.465767
522,promise,11249,Stack Overflow,-61.546562,-141.06998,90.110756
527,eloquent,11055,Stack Overflow,-47.943443,40.424217,98.798805
528,cuda,11001,Stack Overflow,-64.32723,83.06381,92.52948
532,struts2,10947,Stack Overflow,103.80111,68.197914,82.61354
533,mapreduce,10944,Stack Overflow,-140.6808,1.839742,-14.994107
535,calendar,10816,Stack Overflow,6.411803,-78.42576,154.2142
536,macros,10807,Stack Overflow,-48.53789,67.19052,-108.70306
537,localization,10803,Stack Overflow,19.409214,-120.26718,-128.83478
539,installation,10763,Stack Overflow,97.200035,-56.46478,-14.914849
540,mfc,10718,Stack Overflow,62.754025,51.659546,-142.60617
541,textbox,10706,Stack Overflow,-56.77652,-34.108685,35.370678
542,windows-7,10700,Stack Overflow,70.482735,-57.716244,105.06487
545,stream,10584,Stack Overflow,-51.903378,-18.234907,98.2393
546,shiny,10561,Stack Overflow,-73.17828,64.24628,57.778027
549,gulp,10523,Stack Overflow,-90.46528,-12.323923,-72.20538
551,drag-and-drop,10445,Stack Overflow,126.22996,-63.144413,-44.197258
552,com,10412,Stack Overflow,-17.729074,-89.09538,-45.89503
558,lucene,10362,Stack Overflow,-120.38572,-64.38636,22.345226
559,header,10265,Stack Overflow,-156.4685,-70.68092,-45.433235
560,linker,10265,Stack Overflow,-18.602995,-131.3691,-19.571684
561,hashmap,10211,Stack Overflow,17.527279,28.835802,-175.45015
563,floating-point,10114,Stack Overflow,-32.69709,30.231415,-125.36479
565,crash,10082,Stack Overflow,22.120234,-41.84945,149.02959
566,neural-network,10044,Stack Overflow,90.7624,-14.88845,-55.983913
567,x86,10038,Stack Overflow,27.279467,-26.173918,-25.060625
568,binary,10037,Stack Overflow,-13.5238695,100.39949,-13.216415
569,dialog,10032,Stack Overflow,10.693762,-24.143326,-125.02618
