,tag,count,class,tsne_0,tsne_1
155,authentication,35684,Stack Overflow,3.7422402,15.874114
156,pdf,35678,Stack Overflow,1.7470198,12.991865
157,tomcat,35615,Stack Overflow,0.522876,2.5264695
159,docker,35417,Stack Overflow,-3.525217,-5.6676087
160,flash,35261,Stack Overflow,3.9993763,5.8516603
161,ssl,34433,Stack Overflow,8.722748,7.0585537
162,ipad,34324,Stack Overflow,7.133134,15.041025
164,jpa,33577,Stack Overflow,-3.8272455,-8.719601
165,generics,33474,Stack Overflow,-6.4421573,-7.3613286
166,jsf,33297,Stack Overflow,1.9151516,-1.4364724
167,url,33225,Stack Overflow,1.1731824,8.156793
168,animation,33166,Stack Overflow,12.1087675,8.625397
170,firefox,32486,Stack Overflow,0.8715553,5.0381184
172,redirect,32184,Stack Overflow,2.4420888,-13.149353
173,curl,31410,Stack Overflow,-9.490435,-1.5206361
175,unity3d,31113,Stack Overflow,-1.9236993,-3.0484252
177,asynchronous,30950,Stack Overflow,-1.2046525,12.370716
178,inheritance,30859,Stack Overflow,-6.116871,-3.4223483
180,exception,30492,Stack Overflow,-6.746189,-4.860639
181,testing,30456,Stack Overflow,10.524945,-6.179539
182,events,30167,Stack Overflow,-0.97829366,-11.138169
183,opengl,30165,Stack Overflow,4.845379,8.332742
184,xslt,29978,Stack Overflow,3.0282934,6.5147133
185,nginx,29962,Stack Overflow,-1.4070988,-3.962161
186,caching,29941,Stack Overflow,6.731253,-0.28401598
188,servlets,29673,Stack Overflow,0.4023532,2.300615
189,post,29664,Stack Overflow,-11.747348,-4.416813
190,math,29532,Stack Overflow,4.858653,-6.903726
191,dom,29432,Stack Overflow,8.448938,-2.5115044
194,iis,29341,Stack Overflow,-2.9259098,5.009421
195,select,29314,Stack Overflow,4.7237754,-13.580087
197,join,29173,Stack Overflow,2.6864254,-13.059055
198,button,29122,Stack Overflow,-5.9802046,7.1350946
200,recursion,29002,Stack Overflow,5.581922,3.4554138
201,search,28800,Stack Overflow,-0.05538498,7.9751763
202,gcc,28687,Stack Overflow,-6.036049,4.9494605
203,go,28231,Stack Overflow,3.24333,-14.086728
206,jenkins,27847,Stack Overflow,-8.33374,-5.6363487
207,image-processing,27841,Stack Overflow,6.505091,2.175294
208,grails,27840,Stack Overflow,-5.328925,-5.0005093
209,github,27797,Stack Overflow,0.22343947,-8.536795
210,audio,27757,Stack Overflow,13.539875,9.339385
212,canvas,27530,Stack Overflow,-8.550619,0.9415121
213,silverlight,27526,Stack Overflow,-0.9902804,-3.7825656
214,svg,27483,Stack Overflow,3.847657,6.2875805
216,logging,27480,Stack Overflow,-0.27066475,4.9903555
217,video,27395,Stack Overflow,13.55162,9.3441515
218,meteor,27308,Stack Overflow,-7.683208,-2.6128874
219,assembly,27264,Stack Overflow,9.237249,4.2509756
220,matrix,27257,Stack Overflow,11.923275,-0.35850605
222,networking,27127,Stack Overflow,-2.99649,-16.042627
225,encryption,26311,Stack Overflow,3.7639694,15.866845
226,memory,26303,Stack Overflow,6.4271736,-5.3746057
227,xpath,26140,Stack Overflow,-0.2518289,6.2925243
228,iframe,26112,Stack Overflow,0.68747854,-6.2689443
231,razor,25930,Stack Overflow,-7.8225884,-0.5505221
232,cookies,25847,Stack Overflow,-5.8501916,0.49726903
233,web,25724,Stack Overflow,-2.5748568,13.307424
235,optimization,25514,Stack Overflow,10.707439,3.1058664
237,svn,25315,Stack Overflow,0.08146175,-3.508948
238,design-patterns,25190,Stack Overflow,-1.359591,-7.5983787
242,core-data,24962,Stack Overflow,-2.9487038,-6.9793024
244,serialization,24837,Stack Overflow,2.4688654,-4.97616
245,model-view-controller,24789,Stack Overflow,2.2264285,3.6175945
246,arraylist,24668,Stack Overflow,1.2449001,-7.004723
247,gridview,24663,Stack Overflow,-1.6205202,-7.2083926
248,jdbc,24625,Stack Overflow,0.37186036,3.8681302
249,javafx,24399,Stack Overflow,-2.3331308,-3.691561
250,flex,24303,Stack Overflow,1.5441077,0.055037506
252,vector,23940,Stack Overflow,12.160448,0.09517838
254,checkbox,23724,Stack Overflow,-0.30598986,-7.7327275
256,mobile,23405,Stack Overflow,9.471408,6.943859
257,random,23311,Stack Overflow,10.221162,-1.3922199
258,soap,23251,Stack Overflow,5.6984897,0.57611084
259,sharepoint,23102,Stack Overflow,3.7374709,9.402264
263,extjs,22612,Stack Overflow,-2.4837105,-5.6771173
265,vim,22569,Stack Overflow,1.6890482,-1.9779905
266,text,22428,Stack Overflow,0.8651502,11.934048
267,plot,22349,Stack Overflow,-7.5701213,1.5899429
269,input,22323,Stack Overflow,4.4742737,-0.22404173
270,machine-learning,22098,Stack Overflow,7.424484,1.8687991
271,layout,22073,Stack Overflow,9.7611475,4.198418
273,boost,21979,Stack Overflow,1.8874006,-13.1135235
275,mvvm,21891,Stack Overflow,-2.301544,-6.8036127
276,methods,21658,Stack Overflow,-1.2387528,9.4853115
277,twitter,21653,Stack Overflow,-3.2723658,12.8821745
278,indexing,21542,Stack Overflow,0.35256898,7.8855014
279,netbeans,21313,Stack Overflow,-2.5046299,-1.4102607
282,dynamic,20879,Stack Overflow,9.640164,0.975052
283,dll,20871,Stack Overflow,-0.3178552,-1.8245481
284,data-structures,20723,Stack Overflow,-1.4357655,-7.377924
285,browser,20578,Stack Overflow,4.176849,12.355727
286,flask,20567,Stack Overflow,-8.258344,-1.5444921
289,gwt,20390,Stack Overflow,2.2089882,-3.599279
290,design,20247,Stack Overflow,7.5742054,4.4119706
292,pdo,20152,Stack Overflow,-6.3260875,3.6405292
293,groovy,20058,Stack Overflow,-3.7848358,-3.2118206
294,plugins,19991,Stack Overflow,-0.46071002,3.9338732
298,time,19566,Stack Overflow,-12.368971,-2.1941214
299,struct,19551,Stack Overflow,-3.5444596,-7.4195375
300,unicode,19476,Stack Overflow,2.0486112,5.687878
301,mongoose,19439,Stack Overflow,-5.115044,-1.3649207
302,ssh,19429,Stack Overflow,-0.7665685,2.8206742
303,reflection,19365,Stack Overflow,7.0907626,-8.220176
305,tkinter,19206,Stack Overflow,-2.2043796,-6.272336
306,sed,19157,Stack Overflow,-9.578373,-3.748905
308,npm,18957,Stack Overflow,3.441088,-2.447866
309,lambda,18939,Stack Overflow,-9.027649,4.53738
313,graph,18826,Stack Overflow,11.9055395,-0.6011841
315,hash,18682,Stack Overflow,9.722131,12.466428
320,drupal,18466,Stack Overflow,3.4604661,9.065266
321,replace,18396,Stack Overflow,2.7823749,-12.674762
323,service,18372,Stack Overflow,-3.252451,6.1824856
324,encoding,18327,Stack Overflow,-1.8405274,7.1851625
325,charts,18321,Stack Overflow,-0.8948656,-14.266221
329,web-applications,18184,Stack Overflow,-1.8622551,-1.4444146
332,junit,17917,Stack Overflow,0.5594579,1.3838397
335,paypal,17774,Stack Overflow,-2.959221,-2.4302878
337,collections,17537,Stack Overflow,0.92336184,9.938295
338,login,17529,Stack Overflow,-1.7452791,11.386344
339,utf-8,17504,Stack Overflow,-2.1407301,-5.7534213
340,command-line,17484,Stack Overflow,1.9319597,1.9384812
341,printing,17400,Stack Overflow,4.449817,7.6723156
342,tfs,17373,Stack Overflow,-5.775628,3.867898
344,foreach,17312,Stack Overflow,-0.84700924,-8.310727
345,deployment,17260,Stack Overflow,-8.160838,8.568052
346,primefaces,17227,Stack Overflow,-1.8749902,-5.671319
348,https,17074,Stack Overflow,-2.9835494,2.9064448
349,makefile,17064,Stack Overflow,-1.6688665,-6.7925982
350,cmd,17030,Stack Overflow,-3.006362,-10.452874
351,filter,16923,Stack Overflow,10.160841,11.884991
353,types,16891,Stack Overflow,-9.366027,-11.783295
354,tcp,16884,Stack Overflow,4.1069775,2.0113227
356,webview,16880,Stack Overflow,-0.632278,-3.273276
357,solr,16800,Stack Overflow,1.0067563,-4.046462
360,view,16696,Stack Overflow,-8.898513,1.1195934
361,scroll,16643,Stack Overflow,2.1647072,0.74098843
362,import,16286,Stack Overflow,-7.5009084,-9.067464
363,yii,16236,Stack Overflow,-0.934058,-4.9381075
364,vbscript,16167,Stack Overflow,-0.6410746,-1.8945436
365,graphics,16099,Stack Overflow,12.022082,8.573141
367,error-handling,15938,Stack Overflow,-1.476607,-9.006263
368,oauth,15793,Stack Overflow,-1.1039836,-0.41765216
371,fonts,15673,Stack Overflow,2.0445936,5.77469
372,emacs,15664,Stack Overflow,-0.050787423,-5.8036933
374,syntax,15555,Stack Overflow,-0.9771777,7.2402353
375,rspec,15554,Stack Overflow,-0.5332685,-6.4572124
376,web-scraping,15534,Stack Overflow,-1.3377779,-6.364194
379,concurrency,15405,Stack Overflow,4.562246,1.2488347
381,timer,15357,Stack Overflow,-3.418722,1.0160221
382,jar,15281,Stack Overflow,-7.375708,-0.33978873
383,neo4j,15265,Stack Overflow,1.3960981,-5.7148175
386,parameters,15080,Stack Overflow,-6.405246,-14.434691
388,colors,15053,Stack Overflow,-4.319916,8.684439
391,build,14968,Stack Overflow,4.5128665,-13.751249
392,merge,14957,Stack Overflow,3.632253,-11.760527
393,constructor,14898,Stack Overflow,-1.1385179,-0.6067079
396,hyperlink,14772,Stack Overflow,0.80607796,6.5690837
397,joomla,14740,Stack Overflow,1.1325915,3.68169
399,orm,14718,Stack Overflow,2.5540104,-1.8520173
402,ssis,14548,Stack Overflow,2.8335521,-3.4619398
405,ant,14419,Stack Overflow,7.2323217,-1.0121531
406,ffmpeg,14400,Stack Overflow,-0.16051261,-5.0046954
407,module,14365,Stack Overflow,8.274804,9.456016
409,split,14329,Stack Overflow,3.784019,-10.5128145
410,interface,14317,Stack Overflow,7.430463,7.1114125
411,casting,14272,Stack Overflow,-7.57139,-2.4511886
414,properties,14218,Stack Overflow,-6.409571,-14.462082
415,proxy,14136,Stack Overflow,-11.369599,2.4118285
416,terminal,14122,Stack Overflow,-3.262691,0.6269129
418,process,14019,Stack Overflow,8.888454,9.470296
422,cassandra,13890,Stack Overflow,-4.775731,-5.293033
424,binding,13876,Stack Overflow,4.888709,-5.444019
425,bitmap,13749,Stack Overflow,3.3793497,4.661617
426,lua,13708,Stack Overflow,-5.568114,-8.8165655
428,configuration,13639,Stack Overflow,9.82915,4.192595
429,exception-handling,13603,Stack Overflow,-1.8495743,-8.318052
431,group-by,13574,Stack Overflow,1.3478905,-4.866657
433,triggers,13527,Stack Overflow,-0.9999919,-10.787338
434,server,13510,Stack Overflow,4.0230865,12.822713
435,sass,13502,Stack Overflow,-4.2342715,-9.877267
437,io,13462,Stack Overflow,-4.7545576,5.2321534
439,parallel-processing,13438,Stack Overflow,-2.5078819,-9.028121
440,autocomplete,13426,Stack Overflow,-3.3159602,-4.374476
442,devise,13363,Stack Overflow,4.8778453,-13.657373
443,datagrid,13344,Stack Overflow,-2.756049,-7.756255
446,bluetooth,13307,Stack Overflow,9.401725,7.087227
447,menu,13274,Stack Overflow,-5.3917556,1.196971
448,count,13226,Stack Overflow,-4.864176,-11.355721
449,hive,13173,Stack Overflow,6.6710515,-1.8462025
450,scope,13162,Stack Overflow,4.063607,-4.0884433
451,jboss,13158,Stack Overflow,0.59736603,1.4839969
452,download,13145,Stack Overflow,13.415977,5.461491
453,safari,13077,Stack Overflow,-4.8155355,-2.5633183
454,model,13065,Stack Overflow,9.290297,9.804612
458,youtube,13037,Stack Overflow,-3.352601,12.843991
464,callback,12856,Stack Overflow,-4.5531893,0.8452938
465,architecture,12796,Stack Overflow,7.2588305,7.2187996
466,path,12698,Stack Overflow,-3.630988,0.0047196504
467,pagination,12668,Stack Overflow,-2.874479,-4.956455
468,scripting,12593,Stack Overflow,4.030679,7.0793543
469,webforms,12584,Stack Overflow,-1.0933094,-6.8694873
470,reference,12566,Stack Overflow,-1.8518541,1.1071818
471,3d,12558,Stack Overflow,11.793103,8.369346
472,socket.io,12534,Stack Overflow,-1.7834352,-5.16298
473,linked-list,12519,Stack Overflow,-2.1659749,-7.117
474,static,12469,Stack Overflow,9.697328,0.8879448
475,compilation,12465,Stack Overflow,0.8225963,9.168121
476,controller,12442,Stack Overflow,10.265249,11.4198065
479,outlook,12389,Stack Overflow,7.0552917,-8.562243
480,permissions,12376,Stack Overflow,1.4014294,5.539988
484,stl,12248,Stack Overflow,2.801485,-0.5825634
485,coldfusion,12205,Stack Overflow,-2.0623603,-4.6841474
486,ms-word,12182,Stack Overflow,-2.278049,-6.419862
487,dns,12154,Stack Overflow,-2.1287963,5.479673
488,transactions,12145,Stack Overflow,-2.9993606,-13.013889
492,redux,12065,Stack Overflow,-5.447131,-6.8564944
493,get,12036,Stack Overflow,3.8081422,-13.637586
494,notifications,12004,Stack Overflow,6.1351485,-3.5207329
495,tree,11982,Stack Overflow,11.728288,-1.1753157
497,arduino,11956,Stack Overflow,7.758437,8.449702
500,background,11932,Stack Overflow,-5.8669014,-9.792349
501,xsd,11931,Stack Overflow,0.4656372,-1.450647
503,ftp,11905,Stack Overflow,-2.3003547,4.4400687
504,automation,11892,Stack Overflow,6.985474,4.9069858
505,uwp,11859,Stack Overflow,3.2725182,-7.3504786
506,grep,11805,Stack Overflow,-3.356282,-6.3152657
508,tabs,11772,Stack Overflow,1.3369724,0.2836894
509,routing,11703,Stack Overflow,10.8531065,3.061198
510,camera,11637,Stack Overflow,10.260138,7.539255
511,sdk,11598,Stack Overflow,0.43599078,3.2347934
512,null,11585,Stack Overflow,3.3243177,-7.530887
514,upload,11540,Stack Overflow,13.418417,5.4546204
516,insert,11444,Stack Overflow,3.6605017,-11.759806
518,routes,11401,Stack Overflow,-10.080248,-8.093702
522,promise,11249,Stack Overflow,-9.907365,-5.987122
527,eloquent,11055,Stack Overflow,-5.2672453,-5.133638
528,cuda,11001,Stack Overflow,6.152967,7.663597
532,struts2,10947,Stack Overflow,1.4107103,-1.9033742
533,mapreduce,10944,Stack Overflow,5.9158983,7.59534
535,calendar,10816,Stack Overflow,-7.567334,-5.994292
536,macros,10807,Stack Overflow,3.0833528,7.798468
537,localization,10803,Stack Overflow,-12.16055,-6.6187205
539,installation,10763,Stack Overflow,-8.149778,8.564522
540,mfc,10718,Stack Overflow,4.0654955,-1.3454123
541,textbox,10706,Stack Overflow,-0.96189547,-9.91693
542,windows-7,10700,Stack Overflow,-0.7025523,-6.7075224
545,stream,10584,Stack Overflow,8.484765,-2.6823797
546,shiny,10561,Stack Overflow,-6.924007,-0.722134
549,gulp,10523,Stack Overflow,-5.826247,-5.8634114
551,drag-and-drop,10445,Stack Overflow,6.4558997,4.8623013
552,com,10412,Stack Overflow,-10.245485,-2.6608722
558,lucene,10362,Stack Overflow,1.6391555,7.7283063
559,header,10265,Stack Overflow,3.5104022,2.1007712
560,linker,10265,Stack Overflow,-1.7551919,2.7665832
561,hashmap,10211,Stack Overflow,-1.952466,-6.5113955
563,floating-point,10114,Stack Overflow,5.0425367,2.9567907
565,crash,10082,Stack Overflow,-7.3256536,3.3154175
566,neural-network,10044,Stack Overflow,8.704728,1.4901794
567,x86,10038,Stack Overflow,1.6411158,1.5523077
568,binary,10037,Stack Overflow,10.381919,-1.2174231
569,dialog,10032,Stack Overflow,7.105877,-7.7670875
